orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1000",0,3,0.103419639669332,0.103709038530789,0.0194703552005751,0.00436681222707424
"BFC1001",0,8,0.170630047933724,0.166363781284872,0.0322458772145692,0.00436681222707424
"BFC1002",0,7,0.221452160544559,0.228404099560761,0.0153910910004355,0.00436681222707424
"BFC1003",0,8,0.273015670439818,0.275117394695206,0.051640426570657,0.00436681222707424
"BFC1004",0,7,0.279886909453619,0.281466798810704,0.0245265721161,0.00436681222707424
"BFC1005",0,8,0.278367543909416,0.278233914550831,0.0161224833715207,0.00436681222707424
"BFC1006",0,8,0.278302370571114,0.279155355522744,0.0220094742157166,0.00436681222707424
"BFC1007",0,7,0.262327398739019,0.260869565217391,0.0095455340033713,0.00436681222707424
"BFC1008",0,8,0.298849888134501,0.294272221593999,0.0291267120065435,0.00436681222707424
"BFC1009",0,8,0.292116078559229,0.284431607179699,0.0331988064262512,0.00436681222707424
"BFC101",0,8,0.211176106170171,0.207739214867271,0.0292510896163395,0.00436681222707424
"BFC1010",0,8,0.296216873191467,0.30019274579941,0.0552462696227771,0.00436681222707424
"BFC1011",0,6,0.308129144478095,0.309261237450214,0.00418946706174753,0.00436681222707424
"BFC1012",0,8,0.346809469424991,0.351766186990542,0.0307093001143393,0.00436681222707424
"BFC1013",0,8,0.408991763065826,0.404078373972922,0.0960473781650257,0.00436681222707424
"BFC1016",0,4,0.121263168611087,0.123448950974945,0.00564217617469613,0.00436681222707424
"BFC1017",0,6,0.143654278482192,0.150041940444569,0.0439027615999157,0.00436681222707424
"BFC1018",0,8,0.190151687316812,0.202440737956891,0.0391375279005058,0.00436681222707424
"BFC1019",0,6,0.249068530433531,0.25086532410321,0.00893909216845882,0.00436681222707424
"BFC102",0,8,0.198082330331458,0.198823225139015,0.0240143303980488,0.00436681222707424
"BFC1020",0,8,0.263435982935228,0.26507289778886,0.0329060492590113,0.00436681222707424
"BFC1021",0,7,0.283786312461053,0.28709990300679,0.00841149239364542,0.00436681222707424
"BFC1022",0,8,0.268788586504048,0.272891671013737,0.0278285026947078,0.00436681222707424
"BFC1023",0,7,0.265694083490854,0.27308533916849,0.0149521448735273,0.00436681222707424
"BFC1024",0,7,0.284881117488139,0.288329519450801,0.0239212404365764,0.00436681222707424
"BFC1025",0,8,0.294477093401166,0.304732558451874,0.0257973006943642,0.00436681222707424
"BFC1026",0,6,0.274025795869596,0.271551901505238,0.00893308934080237,0.00436681222707424
"BFC1027",0,8,0.299944133384676,0.286798849835737,0.0481550857653397,0.00436681222707424
"BFC1028",0,8,0.327188623818346,0.339664863299504,0.0368740993738867,0.00436681222707424
"BFC1029",0,8,0.386003147420424,0.350555068066811,0.0929357339152196,0.00436681222707424
"BFC103",0,8,0.206000625252349,0.194234020243521,0.0257554668707616,0.00436681222707424
"BFC1032",0,3,0.114154951790466,0.10507880910683,0.0279427298585683,0.00436681222707424
"BFC1033",0,5,0.122744860586882,0.111111111111111,0.0550703659551333,0.00436681222707424
"BFC1034",0,7,0.199433327343804,0.197794854660875,0.0232713533376058,0.00436681222707424
"BFC1035",0,8,0.20973911519757,0.203722484430056,0.0450603183749914,0.00436681222707424
"BFC1036",0,7,0.257027343095305,0.265347686936282,0.0231126108910386,0.00436681222707424
"BFC1037",0,7,0.26509482521434,0.268939393939394,0.030723133564468,0.00436681222707424
"BFC1038",0,8,0.246483161931201,0.254112256509563,0.0345337419473166,0.00436681222707424
"BFC1039",0,8,0.256389241767516,0.26251572327044,0.0297483796592512,0.00436681222707424
"BFC104",0,8,0.210594588352685,0.211651832158132,0.0242748188364689,0.00436681222707424
"BFC1040",0,7,0.256605702570203,0.256061148931088,0.0216110152117602,0.00436681222707424
"BFC1041",0,5,0.276423013244081,0.278846153846154,0.00675013328289607,0.00436681222707424
"BFC1042",0,8,0.285785508168628,0.26299474027459,0.0728034759585694,0.00436681222707424
"BFC1043",0,8,0.290457699851697,0.291447368421053,0.0485573272548546,0.00436681222707424
"BFC1044",0,8,0.318700072379387,0.310802752815579,0.0468089332054901,0.00436681222707424
"BFC1045",0,8,0.375919444594135,0.373728688139168,0.0598463657064419,0.00436681222707424
"BFC1048",0,2,0.130206264382715,0.130206264382715,0.0353972004242743,0.00436681222707424
"BFC1049",0,3,0.0923564432725318,0.0944444444444444,0.00646413093678154,0.00436681222707424
"BFC105",0,7,0.217253248770549,0.224246671338472,0.027578753423277,0.00436681222707424
"BFC1050",0,7,0.126679101539028,0.12283044058745,0.029117518126207,0.00436681222707424
"BFC1051",0,8,0.178054707470192,0.168678989530757,0.0507153166177752,0.00436681222707424
"BFC1052",0,8,0.235008055777592,0.222183824464651,0.0533178272240772,0.00436681222707424
"BFC1053",0,8,0.216979159674895,0.216441740073068,0.0641110447807444,0.00436681222707424
"BFC1054",0,8,0.221608604540271,0.221442002468303,0.0290881451597844,0.00436681222707424
"BFC1055",0,7,0.25430332458459,0.246511627906977,0.0202888733532084,0.00436681222707424
"BFC1056",0,8,0.261869119716523,0.259804188115647,0.039673516603146,0.00436681222707424
"BFC1057",0,8,0.267134756534244,0.257153761889892,0.0446916498659881,0.00436681222707424
"BFC1058",0,8,0.242139951645506,0.238094064472614,0.0303964104082254,0.00436681222707424
"BFC1059",0,8,0.295826237898469,0.296541450694424,0.0364452282590761,0.00436681222707424
"BFC106",0,8,0.24396318502564,0.228027079734549,0.0715875075760402,0.00436681222707424
"BFC1060",0,8,0.293106380738777,0.30398130568132,0.0617991791674287,0.00436681222707424
"BFC1061",0,8,0.333536960751793,0.33570493079891,0.0554521798012659,0.00436681222707424
"BFC1064",0,1,0.0760697305863708,0.0760697305863708,0,0.00436681222707424
"BFC1065",0,3,0.099231421986103,0.0952380952380952,0.0202810671026418,0.00436681222707424
"BFC1066",0,5,0.113643046862151,0.113650401482397,0.0310329904164742,0.00436681222707424
"BFC1067",0,5,0.160379935976037,0.180327868852459,0.0496232553978311,0.00436681222707424
"BFC1068",0,8,0.189733387000912,0.194601961141214,0.0509449412507325,0.00436681222707424
"BFC1069",0,8,0.169622883036131,0.161281980234599,0.0356387590898826,0.00436681222707424
"BFC107",0,8,0.24072697345448,0.250356135910552,0.0677096139047511,0.00436681222707424
"BFC1070",0,8,0.194503974201284,0.189155576562338,0.0360821969875296,0.00436681222707424
"BFC1071",0,8,0.200294064800748,0.195924001427948,0.035468122632436,0.00436681222707424
"BFC1072",0,8,0.206526603370614,0.203812299033167,0.0349893725563317,0.00436681222707424
"BFC1073",0,6,0.206030919026838,0.209278989664815,0.0168472210316517,0.00436681222707424
"BFC1074",0,8,0.244299517467927,0.239794033305491,0.0480899605644018,0.00436681222707424
"BFC1075",0,8,0.250092990250661,0.251409924124197,0.0623140822386739,0.00436681222707424
"BFC1076",0,7,0.318555314987935,0.327769347496206,0.033443189840088,0.00436681222707424
"BFC1077",0,8,0.316579766431067,0.326014355285394,0.0727886077886188,0.00436681222707424
"BFC108",0,8,0.300723673546567,0.309240824853213,0.0712262346473803,0.00436681222707424
"BFC1080",0,1,0.0766335956209374,0.0766335956209374,0,0.00436681222707424
"BFC1082",0,4,0.112260149167005,0.109767058338487,0.05359777075816,0.00436681222707424
"BFC1083",0,4,0.155482205118445,0.156777545024742,0.0490709082135987,0.00436681222707424
"BFC1084",0,7,0.148386396640601,0.164077066500932,0.0539488231787806,0.00436681222707424
"BFC1085",0,8,0.149205855028207,0.139456190133621,0.0588863379503374,0.00436681222707424
"BFC1086",0,7,0.178623473699651,0.15114709851552,0.0547040649550732,0.00436681222707424
"BFC1087",0,8,0.153676132348067,0.151725841719405,0.0453547919778606,0.00436681222707424
"BFC1088",0,8,0.195414039373931,0.189912721495986,0.0672548083115131,0.00436681222707424
"BFC1089",0,8,0.208760493325502,0.221125344943245,0.0385813361388919,0.00436681222707424
"BFC109",0,7,0.299082871398093,0.281461434370771,0.0531360006815627,0.00436681222707424
"BFC1090",0,8,0.222516006006484,0.211650505957297,0.0393352232780342,0.00436681222707424
"BFC1091",0,7,0.273694224449537,0.261744966442953,0.0348451996106985,0.00436681222707424
"BFC1092",0,8,0.288450323100242,0.297353279631761,0.0303609317731009,0.00436681222707424
"BFC1093",0,8,0.351136823019094,0.352909266727989,0.118382896445716,0.00436681222707424
"BFC1097",0,2,0.0722487483327212,0.0722487483327212,0.0152681810632962,0.00436681222707424
"BFC1098",0,2,0.11770717830889,0.11770717830889,0.0247760685544179,0.00436681222707424
"BFC1099",0,2,0.170410884767294,0.170410884767294,0.0207593674906262,0.00436681222707424
"BFC110",0,8,0.371038798037327,0.373189028671913,0.0730063167342638,0.00436681222707424
"BFC1100",0,4,0.179142984206609,0.165975972279458,0.0727430866124419,0.00436681222707424
"BFC1101",0,5,0.181154258751944,0.19746835443038,0.0555864741909953,0.00436681222707424
"BFC1102",0,5,0.130139467018604,0.123957091775924,0.0635504525826193,0.00436681222707424
"BFC1103",0,7,0.149697070626049,0.149700598802395,0.0614535101551285,0.00436681222707424
"BFC1104",0,7,0.167410059532109,0.140266021765417,0.0700482403253981,0.00436681222707424
"BFC1105",0,8,0.199059373278438,0.191416294491812,0.0583490107129256,0.00436681222707424
"BFC1106",0,6,0.19529635841325,0.199636442410029,0.0284983303775247,0.00436681222707424
"BFC1107",0,8,0.223749175071621,0.206542813423704,0.0679632319428212,0.00436681222707424
"BFC1108",0,8,0.256955469973287,0.253615663918016,0.0684113799456759,0.00436681222707424
"BFC1109",0,8,0.344364248168473,0.325334403424291,0.12174783203971,0.00436681222707424
"BFC1112",0,1,0.106508875739645,0.106508875739645,0,0.00436681222707424
"BFC1113",0,1,0.129817444219067,0.129817444219067,0,0.00436681222707424
"BFC1114",0,3,0.112686749621883,0.119260584376863,0.0295954267477875,0.00436681222707424
"BFC1115",0,4,0.10937490343565,0.109593027982375,0.0470236211527962,0.00436681222707424
"BFC1116",0,4,0.157856277485047,0.161835352728364,0.0670217213198152,0.00436681222707424
"BFC1117",0,5,0.141204423308519,0.126126126126126,0.0656623992063363,0.00436681222707424
"BFC1118",0,7,0.1269251454093,0.119402985074627,0.0573477310302415,0.00436681222707424
"BFC1119",0,6,0.128710177601309,0.135630110275814,0.0608955309882942,0.00436681222707424
"BFC1120",0,7,0.151834558595694,0.155934563174382,0.0553224271357974,0.00436681222707424
"BFC1121",0,8,0.164790015044541,0.155097482123089,0.0553590396925717,0.00436681222707424
"BFC1122",0,4,0.164654548865594,0.164401418113583,0.0100913145680435,0.00436681222707424
"BFC1123",0,6,0.194801386995035,0.194386142674483,0.0129132383478758,0.00436681222707424
"BFC1124",0,6,0.269112699474678,0.274576398455483,0.0280860538543162,0.00436681222707424
"BFC1125",0,7,0.279159014214366,0.264150943396226,0.0657052092456723,0.00436681222707424
"BFC113",0,3,0.128493329151055,0.112676056338028,0.0510971149777071,0.00436681222707424
"BFC114",0,4,0.189373178210547,0.192806099456457,0.0477229030955143,0.00436681222707424
"BFC115",0,7,0.170040384406907,0.195667365478686,0.0685165672340513,0.00436681222707424
"BFC116",0,7,0.239961871954386,0.251748251748252,0.0444776625384487,0.00436681222707424
"BFC117",0,8,0.245632692842271,0.245754492798148,0.0355776589989847,0.00436681222707424
"BFC118",0,8,0.262998327096828,0.264198680997908,0.0298836279163087,0.00436681222707424
"BFC119",0,6,0.238715324787903,0.236028596565936,0.00698399216760042,0.00436681222707424
"BFC120",0,8,0.231486682871116,0.225205357723401,0.0230996226477174,0.00436681222707424
"BFC121",0,8,0.249421897987469,0.239941258927975,0.0400566661709197,0.00436681222707424
"BFC122",0,8,0.26002585348846,0.276155437228348,0.0607907910643996,0.00436681222707424
"BFC123",0,8,0.237739320593633,0.23692845819601,0.0525152948050929,0.00436681222707424
"BFC124",0,8,0.286105069197275,0.286935059318306,0.06798148385309,0.00436681222707424
"BFC125",0,8,0.318573700098874,0.325841715089571,0.0610061414004934,0.00436681222707424
"BFC126",0,8,0.369337937500453,0.347058591304642,0.0866271231954204,0.00436681222707424
"BFC129",0,5,0.15194416856024,0.15397489539749,0.0277356104442604,0.00436681222707424
"BFC130",0,8,0.164434451373225,0.165778661971294,0.034284975986604,0.00436681222707424
"BFC131",0,8,0.233505208775828,0.235612855007474,0.034159799900793,0.00436681222707424
"BFC132",0,8,0.281502656030897,0.276521531995985,0.0671735824599521,0.00436681222707424
"BFC133",0,8,0.267849987961211,0.274520280910718,0.0356437813174838,0.00436681222707424
"BFC134",0,8,0.265082100958591,0.266658731060504,0.0256978684080913,0.00436681222707424
"BFC135",0,8,0.250397525406208,0.24859344606358,0.0307990263468463,0.00436681222707424
"BFC136",0,8,0.250651425110067,0.26100138225378,0.0392568304503103,0.00436681222707424
"BFC137",0,7,0.261914377037779,0.260727865290603,0.0240505379572686,0.00436681222707424
"BFC138",0,8,0.246604832295477,0.255221851439871,0.0412690018504243,0.00436681222707424
"BFC139",0,7,0.278264403683645,0.257585139318885,0.065982989200037,0.00436681222707424
"BFC140",0,8,0.303308356606418,0.300299730838081,0.0821975163683836,0.00436681222707424
"BFC141",0,8,0.309921454388394,0.289068383046521,0.0792704117195819,0.00436681222707424
"BFC142",0,8,0.384068985991903,0.367392851798375,0.0965813736813436,0.00436681222707424
"BFC145",0,3,0.19255125408003,0.193333333333333,0.00240486104700764,0.00436681222707424
"BFC146",0,7,0.200076574204555,0.202816901408451,0.0463565302012994,0.00436681222707424
"BFC147",0,7,0.253664465403442,0.265264860493328,0.0248162696754142,0.00436681222707424
