orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1000",0,1,18,18,0,0.00328947368421053
"BFC1001",0,4,30.25,31,6.29152869605896,0.00328947368421053
"BFC1002",0,4,39.5,42,11.3284303119776,0.00328947368421053
"BFC1003",0,3,53.6666666666667,54,1.52752523165195,0.00328947368421053
"BFC1004",0,4,53,58,20.704266871026,0.00328947368421053
"BFC1005",0,4,64.25,61,14.8183444869302,0.00328947368421053
"BFC1006",0,3,60.3333333333333,59,3.21455025366432,0.00328947368421053
"BFC1007",0,3,57.3333333333333,57,6.50640709864771,0.00328947368421053
"BFC1008",0,3,64,62,5.29150262212918,0.00328947368421053
"BFC1009",0,4,70.5,66,17.9907383580182,0.00328947368421053
"BFC101",0,3,36.6666666666667,36,2.08166599946613,0.00328947368421053
"BFC1010",0,4,53,53,7.39369100427294,0.00328947368421053
"BFC1011",0,4,60,62,9.59166304662544,0.00328947368421053
"BFC1012",0,4,62,63,5.29150262212918,0.00328947368421053
"BFC1013",0,4,62.75,64,8.26135582092915,0.00328947368421053
"BFC1016",0,3,17.3333333333333,17,3.51188458428425,0.00328947368421053
"BFC1017",0,4,25,24.5,10.295630140987,0.00328947368421053
"BFC1018",0,4,31.5,33,7.50555349946513,0.00328947368421053
"BFC1019",0,4,46.25,48,9.9121138007995,0.00328947368421053
"BFC102",0,4,36.75,36,8.09835374217089,0.00328947368421053
"BFC1020",0,3,48,48,2,0.00328947368421053
"BFC1021",0,4,60.25,58.5,11.3247516529061,0.00328947368421053
"BFC1022",0,4,59,56,15.6418242755334,0.00328947368421053
"BFC1023",0,4,62.5,60,12.0415945787923,0.00328947368421053
"BFC1024",0,4,64,62,9.41629792788369,0.00328947368421053
"BFC1025",0,3,53.6666666666667,54,3.51188458428425,0.00328947368421053
"BFC1026",0,4,52.25,52,3.685557397916,0.00328947368421053
"BFC1027",0,4,52.75,50.5,9.77667291737498,0.00328947368421053
"BFC1028",0,4,56.5,56.5,3.87298334620742,0.00328947368421053
"BFC1029",0,3,52.3333333333333,52,0.577350269189626,0.00328947368421053
"BFC103",0,4,40.25,40,3.685557397916,0.00328947368421053
"BFC1032",0,2,14.5,14.5,0.707106781186548,0.00328947368421053
"BFC1033",0,3,17.6666666666667,19,3.21455025366432,0.00328947368421053
"BFC1034",0,4,37.75,38,3.685557397916,0.00328947368421053
"BFC1035",0,4,42.75,41.5,5.1234753829798,0.00328947368421053
"BFC1036",0,4,44.25,44.5,10.6262254195301,0.00328947368421053
"BFC1037",0,4,45.5,47.5,8.58292879305582,0.00328947368421053
"BFC1038",0,4,51,50.5,8.60232526704263,0.00328947368421053
"BFC1039",0,4,56.5,57.5,6.2449979983984,0.00328947368421053
"BFC104",0,4,38.5,38.5,1.29099444873581,0.00328947368421053
"BFC1040",0,4,55.5,55,9.88264472024906,0.00328947368421053
"BFC1041",0,4,53,52.5,3.91578004149024,0.00328947368421053
"BFC1042",0,4,54,52.5,4.96655480858378,0.00328947368421053
"BFC1043",0,4,54.25,54.5,9.42956343987709,0.00328947368421053
"BFC1044",0,4,52.25,51.5,6.70198975429437,0.00328947368421053
"BFC1045",0,4,63,63,11.5470053837925,0.00328947368421053
"BFC1048",0,2,22.5,22.5,9.19238815542512,0.00328947368421053
"BFC1049",0,3,26.3333333333333,28,8.62167810425171,0.00328947368421053
"BFC105",0,3,36,36,1,0.00328947368421053
"BFC1050",0,4,26.25,27,5.61990510002912,0.00328947368421053
"BFC1051",0,4,33.5,34,8.69865890046659,0.00328947368421053
"BFC1052",0,4,41.75,41,4.64578662158878,0.00328947368421053
"BFC1053",0,4,37.5,40.5,13.9164171634321,0.00328947368421053
"BFC1054",0,3,50.6666666666667,50,3.05505046330389,0.00328947368421053
"BFC1055",0,3,51,50,1.73205080756888,0.00328947368421053
"BFC1056",0,4,50.25,50,4.57347424467075,0.00328947368421053
"BFC1057",0,4,51.75,50.5,9.17877987534291,0.00328947368421053
"BFC1058",0,4,45.25,44.5,5.79511288357124,0.00328947368421053
"BFC1059",0,4,49.75,50.5,10.0457287772798,0.00328947368421053
"BFC106",0,3,40.3333333333333,40,0.577350269189626,0.00328947368421053
"BFC1060",0,4,45,46.5,12.0277457017791,0.00328947368421053
"BFC1061",0,3,46.3333333333333,45,2.3094010767585,0.00328947368421053
"BFC1064",0,1,15,15,0,0.00328947368421053
"BFC1065",0,2,16.5,16.5,0.707106781186548,0.00328947368421053
"BFC1066",0,4,21,20.5,6.48074069840786,0.00328947368421053
"BFC1067",0,2,21.5,21.5,0.707106781186548,0.00328947368421053
"BFC1068",0,4,34.25,34.5,8.65544144839919,0.00328947368421053
"BFC1069",0,4,32.5,31.5,3.87298334620742,0.00328947368421053
"BFC107",0,4,35.25,35,7.76208734813001,0.00328947368421053
"BFC1070",0,4,41.25,40.5,4.3493294502333,0.00328947368421053
"BFC1071",0,3,44,45,1.73205080756888,0.00328947368421053
"BFC1072",0,4,39.75,40,2.06155281280883,0.00328947368421053
"BFC1073",0,3,37.6666666666667,37,1.15470053837925,0.00328947368421053
"BFC1074",0,3,39,40,2.64575131106459,0.00328947368421053
"BFC1075",0,4,47.5,50,10.3440804327886,0.00328947368421053
"BFC1076",0,4,56.5,56,8.34665601703261,0.00328947368421053
"BFC1077",0,4,49.5,53.5,16.2172747402269,0.00328947368421053
"BFC108",0,4,46.25,43.5,9.94568583189046,0.00328947368421053
"BFC1080",0,1,14,14,0,0.00328947368421053
"BFC1082",0,4,21,21,9.83192080250175,0.00328947368421053
"BFC1083",0,4,29,30,8.48528137423857,0.00328947368421053
"BFC1084",0,3,36.6666666666667,38,3.21455025366432,0.00328947368421053
"BFC1085",0,4,38,37.5,8.67947771086102,0.00328947368421053
"BFC1086",0,3,45,45,2,0.00328947368421053
"BFC1087",0,4,34.75,34.5,3.86221007541882,0.00328947368421053
"BFC1088",0,4,43.5,41,10.2469507659596,0.00328947368421053
"BFC1089",0,4,37.5,39,7.50555349946513,0.00328947368421053
"BFC109",0,3,55,55,3,0.00328947368421053
