orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1000",0,4,0.110284089068692,0.106993910874592,0.0144324343943293,0.00328947368421053
"BFC1001",0,8,0.192575320341349,0.186989339351023,0.0385708415754665,0.00328947368421053
"BFC1002",0,8,0.243291878167282,0.250687965635278,0.0288796175635616,0.00328947368421053
"BFC1003",0,8,0.310488529174732,0.327961300520368,0.0697512418878414,0.00328947368421053
"BFC1004",0,8,0.28276267675275,0.281707252594979,0.0805380873714176,0.00328947368421053
"BFC1005",0,8,0.318518292256791,0.323713391733297,0.0408009726864207,0.00328947368421053
"BFC1006",0,6,0.32392595092659,0.321422330945308,0.0140608316995794,0.00328947368421053
"BFC1007",0,7,0.318179353474416,0.323563892145369,0.0131594633446578,0.00328947368421053
"BFC1008",0,8,0.331990266470112,0.328275602506696,0.0258400851191973,0.00328947368421053
"BFC1009",0,8,0.324656566672074,0.325067634444078,0.0335274194613463,0.00328947368421053
"BFC101",0,8,0.252954164431491,0.253429297664663,0.0282814204766575,0.00328947368421053
"BFC1010",0,8,0.366279173013637,0.366580559509909,0.0525680298169833,0.00328947368421053
"BFC1011",0,6,0.385882979824997,0.381175170381286,0.0133734500174136,0.00328947368421053
"BFC1012",0,8,0.375233143414693,0.37823593601263,0.0561370923124118,0.00328947368421053
"BFC1013",0,8,0.471476981307192,0.463553225683018,0.0918678506278795,0.00328947368421053
"BFC1016",0,4,0.144149525661095,0.136978276787894,0.0279505117251452,0.00328947368421053
"BFC1017",0,6,0.18762639495813,0.174102113469425,0.0498964095635283,0.00328947368421053
"BFC1018",0,8,0.224057469514824,0.219559252272337,0.0403478525108433,0.00328947368421053
"BFC1019",0,8,0.270057163535763,0.270216909921638,0.0383812283056154,0.00328947368421053
"BFC102",0,8,0.235171820420933,0.231394350282486,0.0248764622805454,0.00328947368421053
"BFC1020",0,4,0.288413827631504,0.300836438479216,0.0488586736324194,0.00328947368421053
"BFC1021",0,8,0.287526046506209,0.298878345502922,0.0514033396982578,0.00328947368421053
"BFC1022",0,8,0.307076147497068,0.310431503979891,0.0247394710614508,0.00328947368421053
"BFC1023",0,8,0.317260448486392,0.313152331723835,0.0351851983612568,0.00328947368421053
"BFC1024",0,8,0.332326783705148,0.340909012719022,0.0262253556377888,0.00328947368421053
"BFC1025",0,8,0.340732166887755,0.33708511257764,0.038793168681742,0.00328947368421053
"BFC1026",0,7,0.31781053450763,0.317152103559871,0.0165059966486471,0.00328947368421053
"BFC1027",0,8,0.366520213105819,0.362864373033537,0.059491771718141,0.00328947368421053
"BFC1028",0,8,0.396059798746422,0.397478750212171,0.0463422771205961,0.00328947368421053
"BFC1029",0,8,0.440063368166041,0.40105155131936,0.107204677277056,0.00328947368421053
"BFC103",0,8,0.240858952167486,0.243445000291982,0.0401449866343045,0.00328947368421053
"BFC1032",0,2,0.118094722169378,0.118094722169378,0.000633091575076389,0.00328947368421053
"BFC1033",0,5,0.153951867323678,0.136518771331058,0.0491770740663187,0.00328947368421053
"BFC1034",0,7,0.225625834645713,0.227405247813411,0.0290513867167331,0.00328947368421053
"BFC1035",0,8,0.240633697853293,0.244064718507512,0.0432540443601691,0.00328947368421053
"BFC1036",0,8,0.25040773138794,0.260651163836143,0.0402048505383478,0.00328947368421053
"BFC1037",0,8,0.292089885917377,0.294563942232659,0.0372928332379425,0.00328947368421053
"BFC1038",0,8,0.28723600833068,0.298778840438753,0.0488959318717503,0.00328947368421053
"BFC1039",0,7,0.309415698479651,0.315789473684211,0.0214439809708747,0.00328947368421053
"BFC104",0,6,0.274665799188829,0.283120728422271,0.0379533474398268,0.00328947368421053
"BFC1040",0,8,0.303050140403901,0.299558263292866,0.0573674191556647,0.00328947368421053
"BFC1041",0,6,0.275000287529904,0.27841927694893,0.022018752492132,0.00328947368421053
"BFC1042",0,5,0.278124269816244,0.281855224096055,0.00944667897839727,0.00328947368421053
