hours,pos,x6144plate_1,x6144col_1,x6144row_1,orf_name,bg,average,fitness
8,111153,1,1,1,"BF_control",57,NaN,NaN
8,130385,1,1,2,"BFC383",245.5,NaN,NaN
8,110385,1,1,3,"BFC383",81,NaN,NaN
8,131153,1,1,4,"BF_control",210,NaN,NaN
8,111154,1,1,5,"BF_control",105,NaN,NaN
8,130386,1,1,6,"BFC384",174.5,NaN,NaN
8,110386,1,1,7,"BFC384",129,NaN,NaN
8,131154,1,1,8,"BF_control",139,NaN,NaN
8,111155,1,1,9,"BF_control",153,NaN,NaN
8,130387,1,1,10,"BFC385",103.5,NaN,NaN
8,110387,1,1,11,"BFC385",132,NaN,NaN
8,131155,1,1,12,"BF_control",68,NaN,NaN
8,111156,1,1,13,"BF_control",111,NaN,NaN
8,130388,1,1,14,"BFC386",94.5,NaN,NaN
8,110388,1,1,15,"BFC386",106.5,NaN,NaN
8,131156,1,1,16,"BF_control",121,NaN,NaN
8,111157,1,1,17,"BF_control",102,NaN,NaN
8,130389,1,1,18,"BFC387",114,NaN,NaN
8,110389,1,1,19,"BFC387",109.5,NaN,NaN
8,131157,1,1,20,"BF_control",107,NaN,NaN
8,111158,1,1,21,"BF_control",117,NaN,NaN
8,130390,1,1,22,"BFC388",89.5,NaN,NaN
8,110390,1,1,23,"BFC388",115.5,NaN,NaN
8,131158,1,1,24,"BF_control",72,NaN,NaN
8,111159,1,1,25,"BF_control",114,NaN,NaN
8,130391,1,1,26,"BFC389",72,NaN,NaN
8,110391,1,1,27,"BFC389",101,NaN,NaN
8,131159,1,1,28,"BF_control",72,NaN,NaN
8,111160,1,1,29,"BF_control",88,NaN,NaN
8,130392,1,1,30,"BFC390",71,NaN,NaN
8,110392,1,1,31,"BFC390",86,NaN,NaN
8,131160,1,1,32,"BF_control",70,NaN,NaN
8,111161,1,1,33,"BF_control",84,NaN,NaN
8,130393,1,1,34,"BFC391",77.5,NaN,NaN
8,110393,1,1,35,"BFC391",94.5,NaN,NaN
8,131161,1,1,36,"BF_control",85,NaN,NaN
8,111162,1,1,37,"BF_control",105,NaN,NaN
8,130394,1,1,38,"BFC392",76.5,NaN,NaN
8,110394,1,1,39,"BFC392",93,NaN,NaN
8,131162,1,1,40,"BF_control",68,NaN,NaN
8,111163,1,1,41,"BF_control",81,NaN,NaN
8,130395,1,1,42,"BFC393",78.5,NaN,NaN
8,110395,1,1,43,"BFC393",97,NaN,NaN
8,131163,1,1,44,"BF_control",89,NaN,NaN
8,111164,1,1,45,"BF_control",113,NaN,NaN
8,130396,1,1,46,"BFC394",86.5,NaN,NaN
8,110396,1,1,47,"BFC394",126,NaN,NaN
8,131164,1,1,48,"BF_control",84,NaN,NaN
8,111165,1,1,49,"BF_control",139,NaN,NaN
8,130397,1,1,50,"BFC395",77.5,NaN,NaN
8,110397,1,1,51,"BFC395",129.625,NaN,NaN
8,131165,1,1,52,"BF_control",71,NaN,NaN
8,111166,1,1,53,"BF_control",120.25,NaN,NaN
8,130398,1,1,54,"BFC396",79.625,NaN,NaN
8,110398,1,1,55,"BFC396",128.125,NaN,NaN
8,131166,1,1,56,"BF_control",88.25,NaN,NaN
8,111167,1,1,57,"BF_control",136,NaN,NaN
8,130399,1,1,58,"BFC397",89.125,NaN,NaN
8,110399,1,1,59,"BFC397",143.875,NaN,NaN
8,131167,1,1,60,"BF_control",90,NaN,NaN
8,111168,1,1,61,"BF_control",151.75,NaN,NaN
8,130400,1,1,62,"BFC398",90.875,NaN,NaN
8,110400,1,1,63,"BFC398",159.625,NaN,NaN
8,131168,1,1,64,"BF_control",91.75,NaN,NaN
8,120769,1,2,1,"BFC764",73.5,NaN,NaN
8,140001,1,2,2,"BFC1",131,NaN,NaN
8,120001,1,2,3,"BFC1",57,NaN,NaN
8,140769,1,2,4,"BFC764",121,NaN,NaN
8,120770,1,2,5,"BFC765",40.5,NaN,NaN
8,140002,1,2,6,"BFC2",111,NaN,NaN
8,120002,1,2,7,"BFC2",24,NaN,NaN
8,140770,1,2,8,"BFC765",101,NaN,NaN
8,120771,1,2,9,"BFC766",7.5,NaN,NaN
8,140003,1,2,10,"BFC3",91,NaN,NaN
8,120003,1,2,11,"BFC3",65,NaN,NaN
8,140771,1,2,12,"BFC766",81,NaN,NaN
8,120772,1,2,13,"BFC767",122.5,NaN,NaN
8,140004,1,2,14,"BFC4",64.25,NaN,NaN
8,120004,1,2,15,"BFC4",124.5,NaN,NaN
8,140772,1,2,16,"BFC767",47.5,NaN,NaN
8,120773,1,2,17,"BFC768",126.5,NaN,NaN
8,140005,1,2,18,"BFC5",70.5,NaN,NaN
8,120005,1,2,19,"BFC5",126.25,NaN,NaN
8,140773,1,2,20,"BFC768",93.5,NaN,NaN
8,120774,1,2,21,"BFC769",126,NaN,NaN
8,140006,1,2,22,"BFC6",81.75,NaN,NaN
8,120006,1,2,23,"BFC6",136.75,NaN,NaN
8,140774,1,2,24,"BFC769",70,NaN,NaN
8,120775,1,2,25,"BFC770",147.5,NaN,NaN
8,140007,1,2,26,"BFC7",107.25,NaN,NaN
8,120007,1,2,27,"BFC7",133.25,NaN,NaN
8,140775,1,2,28,"BFC770",144.5,NaN,NaN
8,120776,1,2,29,"BFC771",119,NaN,NaN
8,140008,1,2,30,"BFC8",110.25,NaN,NaN
8,120008,1,2,31,"BFC8",125,NaN,NaN
8,140776,1,2,32,"BFC771",76,NaN,NaN
8,120777,1,2,33,"BFC772",131,NaN,NaN
8,140009,1,2,34,"BFC9",74.25,NaN,NaN
8,120009,1,2,35,"BFC9",143.75,NaN,NaN
8,140777,1,2,36,"BFC772",72.5,NaN,NaN
8,120778,1,2,37,"BFC773",156.5,NaN,NaN
8,140010,1,2,38,"BFC10",82.5,NaN,NaN
8,120010,1,2,39,"BFC10",168,NaN,NaN
8,140778,1,2,40,"BFC773",92.5,NaN,NaN
8,120779,1,2,41,"BFC774",179.5,NaN,NaN
8,140011,1,2,42,"BFC11",69.5,NaN,NaN
8,120011,1,2,43,"BFC11",150.25,NaN,NaN
8,140779,1,2,44,"BFC774",46.5,NaN,NaN
8,120780,1,2,45,"BFC775",121,NaN,NaN
8,140012,1,2,46,"BFC12",39,NaN,NaN
8,120012,1,2,47,"BFC12",132.5,NaN,NaN
8,140780,1,2,48,"BFC775",31.5,NaN,NaN
8,120781,1,2,49,"BFC776",144,NaN,NaN
8,140013,1,2,50,"BFC13",39.75,NaN,NaN
8,120013,1,2,51,"BFC13",149.5625,NaN,NaN
8,140781,1,2,52,"BFC776",48,NaN,NaN
8,120782,1,2,53,"BFC777",155.125,NaN,NaN
8,140014,1,2,54,"BFC14",75.125,NaN,NaN
8,120014,1,2,55,"BFC14",158.0625,NaN,NaN
8,140782,1,2,56,"BFC777",102.25,NaN,NaN
8,120783,1,2,57,"BFC778",161,NaN,NaN
8,140015,1,2,58,"BFC15",105.875,NaN,NaN
8,120015,1,2,59,"BFC15",163.9375,NaN,NaN
8,140783,1,2,60,"BFC778",109.5,NaN,NaN
8,120784,1,2,61,"BFC779",166.875,NaN,NaN
8,140016,1,2,62,"BFC16",113.125,NaN,NaN
8,120016,1,2,63,"BFC16",169.8125,NaN,NaN
8,140784,1,2,64,"BFC779",116.75,NaN,NaN
8,110001,1,3,1,"BFC1",64,NaN,NaN
8,130769,1,3,2,"BFC764",189.5,NaN,NaN
8,110769,1,3,3,"BFC764",83,NaN,NaN
8,130001,1,3,4,"BFC1",167.5,NaN,NaN
8,110002,1,3,5,"BFC2",102,NaN,NaN
8,130770,1,3,6,"BFC765",145.5,NaN,NaN
8,110770,1,3,7,"BFC765",121,NaN,NaN
8,130002,1,3,8,"BFC2",123.5,NaN,NaN
8,110003,1,3,9,"BFC3",140,NaN,NaN
8,130771,1,3,10,"BFC766",101.5,NaN,NaN
8,110771,1,3,11,"BFC766",124,NaN,NaN
8,130003,1,3,12,"BFC3",79.5,NaN,NaN
8,110004,1,3,13,"BFC4",108,NaN,NaN
8,130772,1,3,14,"BFC767",100.25,NaN,NaN
8,110772,1,3,15,"BFC767",106.5,NaN,NaN
8,130004,1,3,16,"BFC4",121,NaN,NaN
8,110005,1,3,17,"BFC5",105,NaN,NaN
8,130773,1,3,18,"BFC768",116,NaN,NaN
8,110773,1,3,19,"BFC768",112.75,NaN,NaN
8,130005,1,3,20,"BFC5",111,NaN,NaN
8,110006,1,3,21,"BFC6",120.5,NaN,NaN
8,130774,1,3,22,"BFC769",96.75,NaN,NaN
8,110774,1,3,23,"BFC769",118.25,NaN,NaN
8,130006,1,3,24,"BFC6",82.5,NaN,NaN
8,110007,1,3,25,"BFC7",116,NaN,NaN
8,130775,1,3,26,"BFC770",82.75,NaN,NaN
8,110775,1,3,27,"BFC770",106.5,NaN,NaN
8,130007,1,3,28,"BFC7",83,NaN,NaN
8,110008,1,3,29,"BFC8",97,NaN,NaN
8,130776,1,3,30,"BFC771",83,NaN,NaN
8,110776,1,3,31,"BFC771",95.25,NaN,NaN
8,130008,1,3,32,"BFC8",83,NaN,NaN
8,110009,1,3,33,"BFC9",93.5,NaN,NaN
8,130777,1,3,34,"BFC772",88.5,NaN,NaN
8,110777,1,3,35,"BFC772",100.75,NaN,NaN
8,130009,1,3,36,"BFC9",94,NaN,NaN
8,110010,1,3,37,"BFC10",108,NaN,NaN
8,130778,1,3,38,"BFC773",86,NaN,NaN
8,110778,1,3,39,"BFC773",99.5,NaN,NaN
8,130010,1,3,40,"BFC10",78,NaN,NaN
8,110011,1,3,41,"BFC11",91,NaN,NaN
8,130779,1,3,42,"BFC774",84,NaN,NaN
8,110779,1,3,43,"BFC774",101.25,NaN,NaN
8,130011,1,3,44,"BFC11",90,NaN,NaN
8,110012,1,3,45,"BFC12",111.5,NaN,NaN
8,130780,1,3,46,"BFC775",89,NaN,NaN
8,110780,1,3,47,"BFC775",120.75,NaN,NaN
8,130012,1,3,48,"BFC12",88,NaN,NaN
8,110013,1,3,49,"BFC13",130,NaN,NaN
8,130781,1,3,50,"BFC776",82.75,NaN,NaN
8,110781,1,3,51,"BFC776",124.5625,NaN,NaN
8,130013,1,3,52,"BFC13",77.5,NaN,NaN
8,110014,1,3,53,"BFC14",119.125,NaN,NaN
8,130782,1,3,54,"BFC777",83.5625,NaN,NaN
8,110782,1,3,55,"BFC777",124.3125,NaN,NaN
8,130014,1,3,56,"BFC14",89.625,NaN,NaN
8,110015,1,3,57,"BFC15",129.5,NaN,NaN
8,130783,1,3,58,"BFC778",89.0625,NaN,NaN
8,110783,1,3,59,"BFC778",134.6875,NaN,NaN
8,130015,1,3,60,"BFC15",88.5,NaN,NaN
8,110016,1,3,61,"BFC16",139.875,NaN,NaN
8,130784,1,3,62,"BFC779",87.9375,NaN,NaN
8,110784,1,3,63,"BFC779",145.0625,NaN,NaN
8,130016,1,3,64,"BFC16",87.375,NaN,NaN
8,121153,1,4,1,"BF_control",71,NaN,NaN
8,140385,1,4,2,"BFC383",130.5,NaN,NaN
8,120385,1,4,3,"BFC383",60.5,NaN,NaN
8,141153,1,4,4,"BF_control",121,NaN,NaN
8,121154,1,4,5,"BF_control",50,NaN,NaN
8,140386,1,4,6,"BFC384",111.5,NaN,NaN
8,120386,1,4,7,"BFC384",39.5,NaN,NaN
8,141154,1,4,8,"BF_control",102,NaN,NaN
8,121155,1,4,9,"BF_control",29,NaN,NaN
8,140387,1,4,10,"BFC385",92.5,NaN,NaN
8,120387,1,4,11,"BFC385",75,NaN,NaN
8,141155,1,4,12,"BF_control",83,NaN,NaN
8,121156,1,4,13,"BF_control",121,NaN,NaN
8,140388,1,4,14,"BFC386",72.5,NaN,NaN
8,120388,1,4,15,"BFC386",124,NaN,NaN
8,141156,1,4,16,"BF_control",62,NaN,NaN
8,121157,1,4,17,"BF_control",127,NaN,NaN
8,140389,1,4,18,"BFC387",78.5,NaN,NaN
8,120389,1,4,19,"BFC387",128.5,NaN,NaN
8,141157,1,4,20,"BF_control",95,NaN,NaN
8,121158,1,4,21,"BF_control",130,NaN,NaN
8,140390,1,4,22,"BFC388",85.5,NaN,NaN
8,120390,1,4,23,"BFC388",137.5,NaN,NaN
8,141158,1,4,24,"BF_control",76,NaN,NaN
8,121159,1,4,25,"BF_control",145,NaN,NaN
8,140391,1,4,26,"BFC389",106.5,NaN,NaN
8,120391,1,4,27,"BFC389",133.5,NaN,NaN
8,141159,1,4,28,"BF_control",137,NaN,NaN
8,121160,1,4,29,"BF_control",122,NaN,NaN
8,140392,1,4,30,"BFC390",109.5,NaN,NaN
8,120392,1,4,31,"BFC390",127,NaN,NaN
8,141160,1,4,32,"BF_control",82,NaN,NaN
8,121161,1,4,33,"BF_control",132,NaN,NaN
8,140393,1,4,34,"BFC391",80.5,NaN,NaN
8,120393,1,4,35,"BFC391",142.5,NaN,NaN
8,141161,1,4,36,"BF_control",79,NaN,NaN
8,121162,1,4,37,"BF_control",153,NaN,NaN
8,140394,1,4,38,"BFC392",86,NaN,NaN
8,120394,1,4,39,"BFC392",160.5,NaN,NaN
8,141162,1,4,40,"BF_control",93,NaN,NaN
8,121163,1,4,41,"BF_control",168,NaN,NaN
8,140395,1,4,42,"BFC393",75,NaN,NaN
8,120395,1,4,43,"BFC393",146,NaN,NaN
8,141163,1,4,44,"BF_control",57,NaN,NaN
8,121164,1,4,45,"BF_control",124,NaN,NaN
8,140396,1,4,46,"BFC394",52,NaN,NaN
8,120396,1,4,47,"BFC394",132,NaN,NaN
8,141164,1,4,48,"BF_control",47,NaN,NaN
8,121165,1,4,49,"BF_control",140,NaN,NaN
8,140397,1,4,50,"BFC395",52.5,NaN,NaN
8,120397,1,4,51,"BFC395",145.375,NaN,NaN
8,141165,1,4,52,"BF_control",58,NaN,NaN
8,121166,1,4,53,"BF_control",150.75,NaN,NaN
8,140398,1,4,54,"BFC396",78.75,NaN,NaN
8,120398,1,4,55,"BFC396",151.875,NaN,NaN
8,141166,1,4,56,"BF_control",99.5,NaN,NaN
8,121167,1,4,57,"BF_control",153,NaN,NaN
8,140399,1,4,58,"BFC397",101.75,NaN,NaN
8,120399,1,4,59,"BFC397",154.125,NaN,NaN
8,141167,1,4,60,"BF_control",104,NaN,NaN
8,121168,1,4,61,"BF_control",155.25,NaN,NaN
8,140400,1,4,62,"BFC398",106.25,NaN,NaN
8,120400,1,4,63,"BFC398",156.375,NaN,NaN
8,141168,1,4,64,"BF_control",108.5,NaN,NaN
8,111169,1,5,1,"BF_control",71,NaN,NaN
8,130401,1,5,2,"BFC399",133.5,NaN,NaN
8,110401,1,5,3,"BFC399",85,NaN,NaN
8,131169,1,5,4,"BF_control",125,NaN,NaN
8,111170,1,5,5,"BF_control",111.5,99,0.887892376681614
8,130402,1,5,6,"BFC400",116.5,152,1.30472103004292
8,110402,1,5,7,"BFC400",113,172,1.52212389380531
8,131170,1,5,8,"BF_control",59,108,1.83050847457627
8,111171,1,5,9,"BF_control",103,127,1.23300970873786
8,130403,1,5,10,"BFC401",99.5,273,2.74371859296482
8,110403,1,5,11,"BFC401",116,277,2.38793103448276
8,131171,1,5,12,"BF_control",110.25,91,0.825396825396825
8,111172,1,5,13,"BF_control",98.25,105,1.06870229007634
8,130404,1,5,14,"BFC402",106,351,3.31132075471698
8,110404,1,5,15,"BFC402",106.5,368,3.45539906103286
8,131172,1,5,16,"BF_control",112.5,121,1.07555555555556
8,111173,1,5,17,"BF_control",110.25,108,0.979591836734694
8,130405,1,5,18,"BFC403",118,177,1.5
8,110405,1,5,19,"BFC403",116,182,1.56896551724138
8,131173,1,5,20,"BF_control",114.5,115,1.00436681222707
8,111174,1,5,21,"BF_control",130,124,0.953846153846154
8,130406,1,5,22,"BFC404",104,318,3.05769230769231
8,110406,1,5,23,"BFC404",121,325,2.68595041322314
8,131174,1,5,24,"BF_control",100.75,93,0.923076923076923
8,111175,1,5,25,"BF_control",123,118,0.959349593495935
8,130407,1,5,26,"BFC405",93.5,288,3.08021390374332
8,110407,1,5,27,"BFC405",112,298,2.66071428571429
8,131175,1,5,28,"BF_control",97.75,94,0.961636828644501
8,111176,1,5,29,"BF_control",112.75,106,0.940133037694013
8,130408,1,5,30,"BFC406",95,138,1.45263157894737
