orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1000",0,2,0.0645331680937647,0.0645331680937647,0.000410791520258963,0.0131578947368421
"BFC1001",0,8,0.10671562834865,0.101548167092924,0.0220311920203746,0.0131578947368421
"BFC1002",0,7,0.147408673557212,0.145116279069767,0.00966955070980262,0.0131578947368421
"BFC1003",0,8,0.184431563822471,0.185138870695697,0.0354553240468632,0.0131578947368421
"BFC1004",0,7,0.196680508801976,0.193477464272627,0.0211724541504071,0.0131578947368421
"BFC1005",0,8,0.198188370815057,0.198134077218732,0.0151921287864155,0.0131578947368421
"BFC1006",0,8,0.2018625089115,0.199210791086648,0.0180942848752894,0.0131578947368421
"BFC1007",0,7,0.186800258461767,0.187104930467762,0.0079824939857777,0.0131578947368421
"BFC1008",0,8,0.212273086187155,0.206147368699244,0.0229765501831561,0.0131578947368421
"BFC1009",0,8,0.20445830667165,0.201063323917502,0.0274849887796645,0.0131578947368421
"BFC101",0,8,0.137716894165576,0.133714102530055,0.0190143636649089,0.0131578947368421
"BFC1010",0,8,0.195914486538044,0.19641549570279,0.0307294813441024,0.0131578947368421
"BFC1011",0,6,0.207145147182636,0.208008861894607,0.00806901735376901,0.0131578947368421
"BFC1012",0,8,0.222146210704151,0.219174825577454,0.0162740648034065,0.0131578947368421
"BFC1013",0,8,0.263692235104841,0.255111609582989,0.0381143130872235,0.0131578947368421
"BFC1016",0,5,0.0685375543333387,0.0701562071800493,0.00663710910797617,0.0131578947368421
"BFC1017",0,6,0.0889859316544351,0.0911801915778059,0.0267852378573894,0.0131578947368421
"BFC1018",0,8,0.122109518128459,0.131488001613713,0.0243019242074467,0.0131578947368421
"BFC1019",0,7,0.171213307674207,0.169657422512235,0.0148603047020974,0.0131578947368421
"BFC102",0,8,0.129815443283119,0.130784493284493,0.0163954108752104,0.0131578947368421
"BFC1020",0,8,0.180716647673655,0.18466692288623,0.0239634158735586,0.0131578947368421
"BFC1021",0,7,0.199020366684645,0.203283815480844,0.00979461746305281,0.0131578947368421
"BFC1022",0,8,0.192445906506122,0.193951568449736,0.0232574405728808,0.0131578947368421
"BFC1023",0,8,0.185954383115906,0.188039375621938,0.0156073656666408,0.0131578947368421
"BFC1024",0,6,0.203825850358137,0.202692765557895,0.00534223231736227,0.0131578947368421
"BFC1025",0,8,0.202063359990674,0.202416037409612,0.017554875897925,0.0131578947368421
