orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1000",0,2,0.0479352712748096,0.0479352712748096,0.000352756866915182,0.00440528634361234
"BFC1001",0,8,0.079360234306475,0.0744965573087939,0.016987555667839,0.00440528634361234
"BFC1002",0,7,0.112498667323378,0.108484005563282,0.00965032583220863,0.00440528634361234
"BFC1003",0,8,0.145483914921876,0.145092168865696,0.026532672215976,0.00440528634361234
"BFC1004",0,7,0.155971299793092,0.156387665198238,0.0167010532286644,0.00440528634361234
"BFC1005",0,8,0.161804379754803,0.162671833176965,0.011599454778751,0.00440528634361234
"BFC1006",0,8,0.165252308302099,0.161536964808476,0.0149190657867658,0.00440528634361234
"BFC1007",0,7,0.156545130457688,0.157221698748149,0.00864697436347914,0.00440528634361234
"BFC1008",0,8,0.175844836751911,0.167920660832423,0.017177201692941,0.00440528634361234
"BFC1009",0,8,0.168216830417287,0.162681439896553,0.0234917342866668,0.00440528634361234
"BFC101",0,8,0.108490561566184,0.105640420899722,0.0140191872828105,0.00440528634361234
"BFC1010",0,8,0.158925573189802,0.158426195589839,0.0225135750292439,0.00440528634361234
"BFC1011",0,8,0.165695714389932,0.166329994187815,0.0125545511747681,0.00440528634361234
"BFC1012",0,8,0.174525271861921,0.178966582580937,0.0128815803218502,0.00440528634361234
"BFC1013",0,8,0.198734668541972,0.197138175839089,0.0238060026786954,0.00440528634361234
"BFC1016",0,5,0.0505836400814869,0.0514285714285714,0.00509054114118424,0.00440528634361234
"BFC1017",0,6,0.0670620075404068,0.0679103287427909,0.0215487712841944,0.00440528634361234
"BFC1018",0,8,0.0948315898596347,0.10187474065092,0.0184009848573071,0.00440528634361234
"BFC1019",0,7,0.134290552785529,0.133891213389121,0.0104587058339698,0.00440528634361234
"BFC102",0,8,0.103812617094886,0.105381550579738,0.0138650894279034,0.00440528634361234
"BFC1020",0,8,0.142727834576725,0.142019608291725,0.0180199127750929,0.00440528634361234
"BFC1021",0,7,0.159714363038778,0.16296916422492,0.00719654666050724,0.00440528634361234
"BFC1022",0,8,0.155473995280706,0.159302761711116,0.0197829817842022,0.00440528634361234
"BFC1023",0,8,0.151804243760433,0.156123363917957,0.0126283644030766,0.00440528634361234
"BFC1024",0,8,0.166043951293238,0.164845848270581,0.0161990200097111,0.00440528634361234
"BFC1025",0,7,0.160898268160584,0.16382252559727,0.00956831690050896,0.00440528634361234
"BFC1026",0,8,0.145036170465034,0.144766997708174,0.0133766672617358,0.00440528634361234
"BFC1027",0,6,0.142387190663235,0.141532501360635,0.00549959416056618,0.00440528634361234
"BFC1028",0,8,0.160826123085334,0.158580579877815,0.0125489665547691,0.00440528634361234
"BFC1029",0,8,0.184616560140778,0.175328095914182,0.0286666052552239,0.00440528634361234
"BFC103",0,8,0.111108670179146,0.111796382849014,0.0105269920315921,0.00440528634361234
"BFC1032",0,2,0.0435411093999081,0.0435411093999081,0.00299953431807538,0.00440528634361234
"BFC1033",0,5,0.0580608677690786,0.0530170910359261,0.0288494805017021,0.00440528634361234
"BFC1034",0,7,0.0986657722869743,0.0983500485279845,0.0117925544679317,0.00440528634361234
"BFC1035",0,8,0.108944522427468,0.108404084971162,0.0221367694183098,0.00440528634361234
"BFC1036",0,7,0.136131813245284,0.14004914004914,0.0136634911378472,0.00440528634361234
"BFC1037",0,8,0.138756532298718,0.145001992788024,0.0286652895566554,0.00440528634361234
"BFC1038",0,8,0.138385355135404,0.143363390469453,0.0198946584230729,0.00440528634361234
"BFC1039",0,8,0.144566515296837,0.147688922562057,0.0159005758731273,0.00440528634361234
"BFC104",0,8,0.111141010040928,0.111830613602398,0.0116696138451671,0.00440528634361234
"BFC1040",0,8,0.146458245861083,0.147548347842899,0.0153585311875748,0.00440528634361234
"BFC1041",0,8,0.150239779530916,0.150692410666937,0.0140583153131422,0.00440528634361234
"BFC1042",0,8,0.144317657819094,0.143907921585683,0.0311866292268005,0.00440528634361234
"BFC1043",0,8,0.141117020032634,0.141225874127555,0.0260026867607161,0.00440528634361234
"BFC1044",0,8,0.153194278306098,0.154782350098509,0.018418999833537,0.00440528634361234
"BFC1045",0,8,0.179543868927265,0.174302845877608,0.0298511564277194,0.00440528634361234
"BFC1048",0,2,0.0617321038955343,0.0617321038955343,0.0196568867901855,0.00440528634361234
"BFC1049",0,4,0.0504210928197259,0.043006685168776,0.0190241699260108,0.00440528634361234
"BFC105",0,8,0.113736573466133,0.115943395055714,0.0152802390877477,0.00440528634361234
"BFC1050",0,7,0.0615623379262284,0.0584312480152429,0.0167306516707791,0.00440528634361234
"BFC1051",0,8,0.0904154985853213,0.0823880537653475,0.0240769598600947,0.00440528634361234
"BFC1052",0,7,0.115503779100888,0.108036890645586,0.0190892854124741,0.00440528634361234
"BFC1053",0,7,0.129466122950699,0.125945361938571,0.0243515158162167,0.00440528634361234
"BFC1054",0,7,0.127260167755446,0.123950936087799,0.0114829531090579,0.00440528634361234
"BFC1055",0,7,0.141805655078678,0.136028232274623,0.0124757059536294,0.00440528634361234
"BFC1056",0,8,0.140576781232317,0.142427806619079,0.0184201387294736,0.00440528634361234
"BFC1057",0,7,0.131052479932076,0.134667301889789,0.0113256808729004,0.00440528634361234
"BFC1058",0,8,0.119002669689613,0.116292167078689,0.0152028205851499,0.00440528634361234
"BFC1059",0,8,0.140986996933027,0.141412989114756,0.0170873372274353,0.00440528634361234
