hours,i,mock_sd,avg_med,avg_ll,avg_ul,f_med,f_ll,f_ul,mck_med,mck_ll,mck_ul,m_med,m_ll,m_ul
17,1,10,365,55,133.8,1,0.08581838,0.112842793,376.4925299,21.60293105,22.35604051,1.00042622,0.027837648,0.034418857
17,2,10,371,36,44.9,1.002153765,0.078001634,0.078158785,373.4826615,21.60293105,22.35604051,1.001776766,0.04272905,0.037948657
17,3,10,368.5,91.5,164.3,0.999971587,0.080713789,0.100382308,380.6339773,21.60293105,22.35604051,1.000139103,0.018264236,0.018757241
17,4,10,352,97,145.9,1.004050973,0.113741094,0.135826162,356.3971352,21.60293105,22.35604051,1.000889369,0.027894889,0.030283265
17,5,10,388,51.9,42.5,1,0.068230758,0.111939633,387.0945036,21.60293105,22.35604051,1.000762597,0.032837543,0.042366335
17,6,10,351,39,56.8,0.998203035,0.067643769,0.108023115,353.1076615,21.60293105,22.35604051,1.000565509,0.034119442,0.042022819
17,7,10,378.5,80.5,166.3,1.001604832,0.066711783,0.098270045,387.9366089,21.60293105,22.35604051,1.000537308,0.015089079,0.019189838
17,8,10,366,59,62,1.000291545,0.080941824,0.123385197,364.4037141,21.60293105,22.35604051,1.000043076,0.029598521,0.039124748
17,1,20,365,55,133.8,1,0.08581838,0.112842793,376.2251914,43.20586209,44.71208102,1.000850431,0.056736629,0.07320344
17,2,20,371,36,44.9,1.002153765,0.078001634,0.078158785,373.215323,43.20586209,44.71208102,1.00362889,0.086152294,0.07465059
17,3,20,368.5,91.5,164.3,0.999971587,0.080713789,0.100382308,380.3666388,43.20586209,44.71208102,1.000276908,0.037719008,0.038717436
17,4,20,352,97,145.9,1.004050973,0.113741094,0.135826162,356.1297967,43.20586209,44.71208102,1.001759194,0.055855803,0.060155051
17,5,20,388,51.9,42.5,1,0.068230758,0.111939633,386.8271651,43.20586209,44.71208102,1.001551486,0.065490956,0.087704997
17,6,20,351,39,56.8,0.998203035,0.067643769,0.108023115,352.840323,43.20586209,44.71208102,1.001134715,0.070503619,0.085566698
17,7,20,378.5,80.5,166.3,1.001604832,0.066711783,0.098270045,387.6692704,43.20586209,44.71208102,1.001029923,0.030894952,0.038381737
17,8,20,366,59,62,1.000291545,0.080941824,0.123385197,364.1363756,43.20586209,44.71208102,1.000086611,0.060551538,0.078573078
17,1,30,365,55,133.8,1,0.08581838,0.112842793,375.9578529,64.80879314,67.06812154,1.001274251,0.086044203,0.112949609
17,2,30,371,36,44.9,1.002153765,0.078001634,0.078158785,372.9479845,64.80879314,67.06812154,1.005556212,0.13029154,0.117155772
17,3,30,368.5,91.5,164.3,0.999971587,0.080713789,0.100382308,380.0993003,64.80879314,67.06812154,1.000413538,0.058496659,0.059667147
17,4,30,352,97,145.9,1.004050973,0.113741094,0.135826162,355.8624582,64.80879314,67.06812154,1.002611354,0.08639955,0.087227226
17,5,30,388,51.9,42.5,1,0.068230758,0.111939633,386.5598266,64.80879314,67.06812154,1.002370149,0.098376273,0.135521871
17,6,30,351,39,56.8,0.998203035,0.067643769,0.108023115,352.5729845,64.80879314,67.06812154,1.001707679,0.109389496,0.131079301
17,7,30,378.5,80.5,166.3,1.001604832,0.066711783,0.098270045,387.4019319,64.80879314,67.06812154,1.001482348,0.047484109,0.057767226
17,8,30,366,59,62,1.000291545,0.080941824,0.123385197,363.8690371,64.80879314,67.06812154,1.000130666,0.089429856,0.125913319
17,1,40,365,55,133.8,1,0.08581838,0.112842793,375.6905144,86.41172419,89.42416205,1.001699299,0.114723527,0.155039079
17,2,40,371,36,44.9,1.002153765,0.078001634,0.078158785,372.680646,86.41172419,89.42416205,1.007533009,0.175144731,0.166098767
17,3,40,368.5,91.5,164.3,0.999971587,0.080713789,0.100382308,379.8319618,86.41172419,89.42416205,1.00054911,0.080750025,0.081838345
17,4,40,352,97,145.9,1.004050973,0.113741094,0.135826162,355.5951197,86.41172419,89.42416205,1.003447544,0.119133061,0.113764529
17,5,40,388,51.9,42.5,1,0.068230758,0.111939633,386.2924881,86.41172419,89.42416205,1.003222626,0.133052728,0.183246651
17,6,40,351,39,56.8,0.998203035,0.067643769,0.108023115,352.305646,86.41172419,89.42416205,1.002284467,0.151048401,0.180017739
17,7,40,378.5,80.5,166.3,1.001604832,0.066711783,0.098270045,387.1345934,86.41172419,89.42416205,1.001921223,0.062492465,0.082080945
17,8,40,366,59,62,1.000291545,0.080941824,0.123385197,363.6016986,86.41172419,89.42416205,1.000175306,0.122405577,0.182567708
17,1,50,365,55,133.8,1,0.08581838,0.112842793,375.4231759,108.0146552,111.7802026,1.002127206,0.143704692,0.200346874
17,2,50,371,36,44.9,1.002153765,0.078001634,0.078158785,372.4133075,108.0146552,111.7802026,1.009165778,0.220343932,0.216005704
17,3,50,368.5,91.5,164.3,0.999971587,0.080713789,0.100382308,379.5646233,108.0146552,111.7802026,1.000683732,0.104694887,0.11047886
17,4,50,352,97,145.9,1.004050973,0.113741094,0.135826162,355.3277812,108.0146552,111.7802026,1.004237207,0.155611262,0.151011396
17,5,50,388,51.9,42.5,1,0.068230758,0.111939633,386.0251496,108.0146552,111.7802026,1.004016691,0.164439813,0.233533913
17,6,50,351,39,56.8,0.998203035,0.067643769,0.108023115,352.0383075,108.0146552,111.7802026,1.002865144,0.195792503,0.230805552
17,7,50,378.5,80.5,166.3,1.001604832,0.066711783,0.098270045,386.8672549,108.0146552,111.7802026,1.002397206,0.080928622,0.107283654
17,8,50,366,59,62,1.000291545,0.080941824,0.123385197,363.3343601,108.0146552,111.7802026,1.000220604,0.152884311,0.245267441
17,1,60,365,55,133.8,1,0.08581838,0.112842793,375.1558374,129.6175863,134.1362431,1.002559645,0.177279143,0.247135122
17,2,60,371,36,44.9,1.002153765,0.078001634,0.078158785,372.145969,129.6175863,134.1362431,1.010713785,0.266927958,0.269975102
17,3,60,368.5,91.5,164.3,0.999971587,0.080713789,0.100382308,379.2972848,129.6175863,134.1362431,1.000817511,0.130959131,0.13888087
17,4,60,352,97,145.9,1.004050973,0.113741094,0.135826162,355.0604427,129.6175863,134.1362431,1.004963491,0.195538143,0.189918024
17,5,60,388,51.9,42.5,1,0.068230758,0.111939633,385.7578111,129.6175863,134.1362431,1.004794725,0.196605063,0.285910959
17,6,60,351,39,56.8,0.998203035,0.067643769,0.108023115,351.770969,129.6175863,134.1362431,1.003449777,0.243982822,0.296215211
17,7,60,378.5,80.5,166.3,1.001604832,0.066711783,0.098270045,386.5999164,129.6175863,134.1362431,1.00287472,0.100845105,0.132944954
17,8,60,366,59,62,1.000291545,0.080941824,0.123385197,363.0670216,129.6175863,134.1362431,1.000266641,0.176204002,0.289296156
17,1,70,365,55,133.8,1,0.08581838,0.112842793,374.8884989,151.2205173,156.4922836,1.00294283,0.21315537,0.31084721
17,2,70,371,36,44.9,1.002153765,0.078001634,0.078158785,371.8786305,151.2205173,156.4922836,1.012183683,0.312251286,0.344580248
17,3,70,368.5,91.5,164.3,0.999971587,0.080713789,0.100382308,379.0299463,151.2205173,156.4922836,1.000950546,0.159363229,0.169508031
17,4,70,352,97,145.9,1.004050973,0.113741094,0.135826162,354.7931042,151.2205173,156.4922836,1.005737828,0.239575867,0.217378544
17,5,70,388,51.9,42.5,1,0.068230758,0.111939633,385.4904726,151.2205173,156.4922836,1.00556465,0.236740062,0.340536208
17,6,70,351,39,56.8,0.998203035,0.067643769,0.108023115,351.5036305,151.2205173,156.4922836,1.004038437,0.2960392,0.368760194
17,7,70,378.5,80.5,166.3,1.001604832,0.066711783,0.098270045,386.3325779,151.2205173,156.4922836,1.003355418,0.122368357,0.160378212
17,8,70,366,59,62,1.000291545,0.080941824,0.123385197,362.7996831,151.2205173,156.4922836,1.000313506,0.197775219,0.327504869
17,1,80,365,55,133.8,1,0.08581838,0.112842793,374.6211604,172.8234484,178.8483241,1.003308023,0.246381189,0.391815004
17,2,80,371,36,44.9,1.002153765,0.078001634,0.078158785,371.611292,172.8234484,178.8483241,1.013581279,0.364286471,0.431578414
17,3,80,368.5,91.5,164.3,0.999971587,0.080713789,0.100382308,378.7626078,172.8234484,178.8483241,1.001082934,0.18416416,0.203404541
